time,X-axis,Y-axis,Z-axis,anomaly_score
Wed Apr 24 17:49:36 2019,667,662,480,-1
Wed Apr 24 17:49:36 2019,659,652,524,1
Wed Apr 24 17:49:36 2019,665,682,525,1
Wed Apr 24 17:49:37 2019,662,686,535,1
Wed Apr 24 17:49:37 2019,659,690,513,1
Wed Apr 24 17:49:37 2019,666,653,529,1
Wed Apr 24 17:49:38 2019,656,674,543,1
Wed Apr 24 17:49:38 2019,662,676,476,-1
Wed Apr 24 17:49:38 2019,661,654,522,1
Wed Apr 24 17:49:39 2019,665,660,506,1
Wed Apr 24 17:49:39 2019,657,666,526,1
Wed Apr 24 17:49:39 2019,652,665,542,1
Wed Apr 24 17:49:39 2019,657,653,538,1
