time,X-axis,Y-axis,Z-axis
Sat Apr  6 19:11:04 2019,662,648,526
Sat Apr  6 19:11:04 2019,657,648,528
Sat Apr  6 19:11:04 2019,658,647,529
Sat Apr  6 19:11:05 2019,660,645,529
Sat Apr  6 19:11:05 2019,661,645,526
Sat Apr  6 19:11:05 2019,661,648,526
Sat Apr  6 19:11:06 2019,658,649,528
Sat Apr  6 19:11:06 2019,657,649,528
Sat Apr  6 19:11:06 2019,659,645,528
Sat Apr  6 19:11:07 2019,660,645,527
Sat Apr  6 19:11:07 2019,661,647,526
Sat Apr  6 19:11:07 2019,660,648,528
Sat Apr  6 19:11:07 2019,657,649,529
Sat Apr  6 19:11:08 2019,657,646,529
Sat Apr  6 19:11:08 2019,660,645,528
Sat Apr  6 19:11:08 2019,661,647,526
Sat Apr  6 19:11:09 2019,661,648,527
Sat Apr  6 19:11:09 2019,658,648,528
Sat Apr  6 19:11:09 2019,657,646,529
Sat Apr  6 19:11:10 2019,660,645,529
Sat Apr  6 19:11:10 2019,661,646,526
Sat Apr  6 19:11:10 2019,660,648,526
Sat Apr  6 19:11:11 2019,658,648,528
Sat Apr  6 19:11:11 2019,658,647,530
Sat Apr  6 19:11:11 2019,659,645,530
Sat Apr  6 19:11:12 2019,660,645,527
Sat Apr  6 19:11:12 2019,661,648,526
Sat Apr  6 19:11:12 2019,660,649,528
Sat Apr  6 19:11:13 2019,657,649,529
Sat Apr  6 19:11:13 2019,658,645,529
Sat Apr  6 19:11:13 2019,661,644,526
Sat Apr  6 19:11:13 2019,661,647,526
Sat Apr  6 19:11:14 2019,661,649,528
Sat Apr  6 19:11:14 2019,657,648,529
Sat Apr  6 19:11:14 2019,657,646,529
Sat Apr  6 19:11:15 2019,660,644,528
Sat Apr  6 19:11:15 2019,661,647,527
Sat Apr  6 19:11:15 2019,661,648,526
Sat Apr  6 19:11:16 2019,658,648,529
Sat Apr  6 19:11:16 2019,657,648,529
Sat Apr  6 19:11:16 2019,659,645,530
Sat Apr  6 19:11:17 2019,661,645,526
Sat Apr  6 19:11:17 2019,662,648,526
Sat Apr  6 19:11:17 2019,659,649,528
Sat Apr  6 19:11:18 2019,657,649,529
Sat Apr  6 19:11:18 2019,658,645,530
